id,group_name
4927,СГД-18-6
4970,СФП-18-2
4971,СНТС-18-1
4973,СГД-18-2
4974,СГД-18-8
4975,СГД-18-13
4976,СГД-18-12
4982,СГД-18-3
5412,СФП-18-1
6077,БЭК-19-2
6080,СГД-19-1
6082,БЭН-19-1
6086,БМН-19-2
6089,БСМ-19-1
6091,БМН-19-1
6094,БЭК-19-1
6099,БЭЭ-19-1
6104,БЭК-19-3
6106,БЭН-19-2
6113,БНМТ-19-1
6114,БФЗ-19-1
6120,СГД-19-2
6123,СГД-19-5
6127,СГД-19-4
6128,СГД-19-7
6132,СГД-19-3
6137,БПИ-19-2
6138,БИВТ-19-1
6156,БПМ-19-2
6162,БМТМ-19-2
6169,СНТС-19-1
6183,БМТМ-19-1
6190,БПИ-19-3
6194,БМТМ-19-4
6214,БИВТ-19-2
6225,БНМ-19-1
6231,БИВТ-19-3
6234,БПМ-19-1
6235,БМТМ-19-3
6236,БТМО-19-2
6240,ББИ-19-1
6246,СФП-19-1
6248,БПИ-19-1
6250,БИСТ-19-1
6252,БМТ-19-2
6258,БМТ-19-1
6259,БТМО-19-1
6270,СГД-19-6
6296,БГМУ-19-1
6298,БТД-19-1
6327,БЭК-19-4
6329,БНМТ-19-2
6331,БИВТ-19-5
6334,БЭК-19-5
6348,БЭК-19-6
6359,БМН-19-3
6364,ББИ-19-2
6365,ББИ-19-3
6367,БПИ-19-4
6368,БИСТ-19-2
6374,БПИ-19-5
6382,БПИ-19-7
6385,БИСТ-19-3
6416,БПМ-19-4
6425,МиТМ-19
6430,МО-19
6440,ОМ-19
6441,УТС-19
6443,БПМ-19-3
6445,БИВТ-19-4
6625,БПИ-20-2
6632,МиТМ-20
6639,БМН-20-2
6642,БЭЭ-20-1
6644,УТС-20
6650,БМН-20-3
6651,БНМТ-20-1
6654,БНМ-20-1
6655,БМТМ-20-4
6666,БПМ-20-2
6670,СГД-18-14
6676,СГД-20-5
6687,БПМ-20-3
6690,СГД-20-3
6698,БПМ-20-4
6705,БПИ-20-4
6716,БПИ-20-5
6722,БТМО-20-2
6723,ББИ-20-1
6725,БМТ-20-1
6726,СГД-20-6
6727,БПИ-20-6
6728,БТМО-20-1
6733,БЭН-20-2
6740,БПИ-20-7
6749,СГД-20-7
6751,БЭК-20-3
6752,БПИ-20-8
6758,БИВТ-20-2
6759,СФП-20-1
6761,БПИ-20-9
6764,БМТ-20-2
6769,БМТМ-20-3
6777,БИВТ-20-3
6790,БМТМ-20-1
6795,БИВТ-20-4
6796,БЭН-20-1
6802,БЭК-20-2
6805,ББИ-20-2
6806,БМТМ-20-2
6809,СГД-20-2
6812,БЭК-20-1
6822,БМН-20-1
6843,БФЗ-20-1
6846,МО-20
6847,БИСТ-20-2
6849,СГД-20-4
6856,БИВТ-20-1
6866,БИВТ-20-5
6873,БИСТ-20-1
6878,БПИ-20-1
6879,СГД-20-1
6887,БПИ-20-3
6892,БПМ-20-1
6902,МиТМ-20т
6903,МО-20т
6904,УТС-20т
6916,БИВТ-20-6
6918,ББИ-20-3
6922,ББИ-20-4
6924,БИСТ-20-3
7019,БМТ-21-2
7021,БПМ-21-2
7032,БИВТ-21-10
7040,МТБ-21-1-5
7047,СГД-21-2
7052,БИВТ-21-2
7055,БИВТ-21-11
7061,БМН-19-4
7084,БФЗ-21-1
7089,МИВТ-21-4-17
7091,БИВТ-21-12
7097,БЭК-21-4
7104,БИВТ-21-3
7106,МПИ-21-2-4
7109,БЭН-21-1
7119,БФЗ-21-2
7120,МПИ-21-1-7
7121,БЭН-21-2
7123,БЭЭ-21-1
7129,БЭК-21-2
7132,БЭК-21-1
7142,МиТМ-21
7143,БМТМ-21-1
7147,БИВТ-21-4
7150,БЭК-21-3
7157,БИВТ-21-15
7161,БМТМ-21-2
7163,МПИ-21-3-8
7178,БНМ-21-1
7181,БИВТ-21-5
7182,БИВТ-21-13
7211,БИВТ-21-6
7214,ББИ-21-2
7215,БИВТ-21-14
7226,МБИ-21-1-1
7231,ЭМ-20
7237,СГД-21-1
7239,БМТ-21-1
7256,БИВТ-21-16
7260,МИВТ-21-1-9
7266,БИВТ-21-7
7267,БПМ-21-1
7273,МИВТ-21-2-13
7276,УТС-21
7280,ББИ-21-3
7282,БИВТ-21-1
7288,МТМО-21-1-5
7291,БИВТ-21-17
7292,ББИ-21-1
7295,ЭМ-19
7300,СГД-21-3
7306,ББИ-21-4
7313,БНМ-21-2
7314,БТМО-21-1
7324,ОМ-21
7329,СГД-21-4
7330,МО-21
7332,БИВТ-21-8
7333,СФП-21-1
7348,БПМ-21-3
7362,БТМО-21-2
7365,СГД-21-5
7372,БИВТ-21-9
7393,СГД-21-6
7413,БЭК-21-6
7414,БЭК-21-5
7415,БЭК-21-7
7531,МФЗ-22-2
7532,МЭН-22-1
7533,МЭН-22-2
7534,МЭН-22-3
7535,ММТМ-22-1
7537,ММТМ-22-2
7538,ММТМ-22-4
7539,ММТМ-22-5
7541,ММТМ-22-6
7542,ММТМ-22-7
7544,ММТМ-22-8
7545,МНТМ-22-1
7546,МНТМ-22-2А
7547,БФЗ-22-1
7548,МНМ-22-1
7549,БЭН-22-1
