id, room_name
5 Л-415
14 Г-304
18 Г-451
21 А-321
32 Л-730
36 Г-464
42 Л-826
43 А-04
47 Л-809
49 Б-304
56 Г-416
63 К-524
64 Б-4
65 Л-117
79 Ш-25
88 Г-312
91 К-531
97 Л-518
101 Л-812
106 К-311
112 А-513
114 Г-418
115 В-752
125 А-422
127 Г-342
129 К-526
130 Б-314
131 АВ-304а
137 Л-512
138 А-428
141 Л-547
150 Б-1121
153 Г-313
154 Л-827
165 А-512
170 К-515
182 Л-746
187 Л-609
188 Г-408
189 Ш-12
195 А-412
198 В-852
200 К-523
202 Л-509
204 Б-907
205 Ш-15
208 К-525
210 Г-427
214 Г-211
219 Л-315
222 Б-515
225 Л-711
226 В-754
247 Г-461
248 К-518
249 К-317
261 Б-416
268 В-668
275 АВ-202
277 К-206
279 Л-405в
291 К-107
293 Г-516
298 Г-529
300 В-850
302 Г-311
304 Л-553
312 Каф. ФКИЗ
313 Л-615
314 Л-613
318 Б-734
322 А-211
323 К-214
325 Л-829
329 Г-431
330 К-505
331 Л-710
333 Г-454
339 К-405
346 Л-132
349 А-511
361 Г-310
369 Б-934
372 К-529а
374 Л-551
377 К-421
382 Г-409
383 А-319
387 А-311
390 Б-904а
391 Б-316
401 К-504
408 Г-426
419 Л-732
432 Б-3
435 К-522
439 Л-533
441 В-958
445 А-223
451 Л-531
452 Л-831
463 А-323
468 В-854
470 Г-528
471 К-521
472 Б-413
473 К-503
476 Л-728
481 Б-303
485 Л-715
487 К-103
495 К-520
498 Л-708
501 Л-833
511 Л-417
512 К-326
518 А-509
522 В-954
523 Л-813
525 Л-633
530 Л-731
538 А-213
545 Г-462
547 Г-504
555 К-510
556 К-215
557 А-515
561 А-312
562 К-516
571 А-306
572 Л-550
584 В-848
585 Л-634
587 Б-1135
592 А-421
595 Г-514
598 В-758
604 Л-529
606 Г-401
611 Б-1107
615 К-532
616 Л-740
629 Г-470
630 Л-828
644 Г-410
655 А-526
656 А-107
659 Л-405г
670 К-212
676 Г-523
679 Г-414
682 К-313
683 К-513
688 Л-522
689 К-519
691 А-514
694 К-511
695 Г-531
696 К-436
700 Л-524
701 К-433
704 К-529б
705 А-414
706 К-501
709 Л-542
713 Г-404
720 А-517
722 Л-830
725 Л-131
726 Г-510а
731 Л-556
733 А-510
736 А-507
742 А-328
750 Г-522
755 А-308
762 В-756
764 А-524
767 А-04а
770 К-415
778 Г-513
788 Б-1117
791 Г-509
792 К-428
795 Л-656
796 АВ-302
801 Г-415
811 К-406
813 Г-425
815 К-541
816 Г-501
819 Г-508
820 Г-417
828 Л-409а
829 Л-811
841 Б-429
843 Б-902
846 Л-733
854 К-512
855 К-420
858 Г-337
863 Л-713а
870 А-304
879 Л-223
883 Б-1104
885 Б-434
888 Л-629
895 Л-810
904 К-222
907 А-427б
908 Ш-1
913 А-522
916 Г-469
919 К-325
929 Б-420
931 Г-340
943 Б-507
946 Г-524
950 Б-317
954 Л-631
959 К-509
960 К-517
973 А-416
974 Г-411
981 А-106
1001 К-112
1009 Б-737
1052 Г-164
1053 Г-150
1054 Г-148
1056 Г-160
1069 А-506
1074 Б-821-УВЦ
1075 Б-825-УВЦ
1076 Б-819-УВЦ
1078 Б-806-УВЦ
1085 Б-823-УВЦ
1088 Б-435
1090 Б-805-УВЦ
1095 Б-804-УВЦ
1097 Б-329
1105 Общ-66
1107 Ш-4
1118 Ш-2
1119 Ш-16
1122 Ш-35
1124 Ш-11
1131 Техн-4
1133 Общ-42
1135 ФОК "Олимп"
1142 Л-719
1143 Б-419
1162 Л-643
1164 Л-645
1166 К-527
1167 Л-620
1255 НМИЦ им. Н.Н. Блохина
1263 Онлайн
1293 Г-518
1295 Г-510
1296 Г-507
1298 Г-525
1299 Институт общей неорганической химии им. Н.С. Курнакова РАН (ИЛНХ РАН)
1312 Л-538
1314 Т-212
1315 Г-450
1320 Б-835(мэйл.ру)
1321 Т-203а
1326 А-221а
1330 АВ-304
1351 Г-128
1370 К-224
1385 Л-937
